,epoch_mjd,a,e,i,om,w,ma,spkid,per_y,sigma_e,sigma_a,sigma_i,sigma_om,sigma_w,sigma_per,full_name,number_mp,designation
96,59800,1.355,0.3871,13.51,45.71,48.27,24.37,2005645,1.58,2.4e-08,1.5e-09,5.3e-06,1.3e-05,1.4e-05,9.6e-07,  5645 (1990 SP),5645,(1990 SP)
97,59800,2.143,0.4362,7.91,14.1,335.74,63.78,2005646,3.14,2.9e-08,4.6e-09,4.1e-06,2e-05,2e-05,3.7e-06,  5646 (1990 TR),5646,(1990 TR)
98,59800,1.794,0.3046,6.88,9.89,122.67,95.79,2005653,2.4,2.3e-08,1.8e-09,2.8e-06,2.4e-05,2.4e-05,1.3e-06,  5653 Camarillo (1992 WD5),5653,Camarillo (1992 WD5)
99,59800,1.786,0.7619,38.12,302.16,127.0,27.6,2005660,2.39,1.1e-07,4.1e-09,3.4e-05,1.5e-05,2.1e-05,3e-06,  5660 (1974 MA),5660,(1974 MA)
100,59800,1.271,0.5853,5.06,96.99,258.96,12.6,2005693,1.43,2.4e-08,1.8e-09,2.4e-06,2.7e-05,2.7e-05,1.1e-06,  5693 (1993 EA),5693,(1993 EA)
101,59800,2.267,0.652,11.2,280.63,218.39,295.2,2005731,3.41,4.5e-08,9.5e-09,5.2e-06,2.9e-05,2.9e-05,7.8e-06,  5731 Zeus (1988 VP4),5731,Zeus (1988 VP4)
102,59800,2.102,0.4252,16.07,121.64,25.51,355.44,2005751,3.05,3.9e-08,1e-08,4.2e-06,1.1e-05,1.9e-05,8.1e-06,  5751 Zao (1992 AC),5751,Zao (1992 AC)
103,59800,1.081,0.827,23.24,161.3,8.37,296.46,2005786,1.12,3.2e-08,1.8e-09,7.9e-06,6.5e-06,7.8e-06,1e-06,  5786 Talos (1991 RC),5786,Talos (1991 RC)
104,59800,1.893,0.4443,4.19,298.93,168.66,126.7,2005797,2.61,2.9e-08,7.7e-10,3.9e-06,3.9e-05,4e-05,5.8e-07,  5797 Bivoj (1980 AA),5797,Bivoj (1980 AA)
105,59800,1.698,0.695,30.12,125.42,152.78,61.15,2005828,2.21,5.4e-08,4.2e-09,9e-06,9.3e-06,1.1e-05,3e-06,  5828 (1991 AM),5828,(1991 AM)
106,59800,2.441,0.5366,7.95,238.74,78.04,212.87,2005836,3.81,2.4e-08,1.9e-09,3.3e-06,2.4e-05,2.4e-05,1.6e-06,  5836 (1993 MF),5836,(1993 MF)
107,59800,2.223,0.5055,19.49,168.89,115.52,288.95,2005863,3.31,3.1e-08,5.4e-09,4.6e-06,1.2e-05,1.3e-05,4.4e-06,  5863 Tara (1983 RB),5863,Tara (1983 RB)
