solution_id,number_mp,designation,mag_h,slope_g,code,obs_arc,obs_num,osc_epoch,orb_m,omega,node_omega,inclination,eccentricity,a,orb_date,ceu,ceu_rate,ceu_epoch
4427920383700574337,3967,shekhtelia,11.3,0.15,0,15011,1500,20180323,4.209517,9.907536,101.086622,17.459984,0.05146303,3.24537565,20180207,0.034,-1.7E-4,20180228
4427920383700574337,3968,koptelov,12.9,0.15,0,23460,1714,20180323,179.074266,312.709061,312.057811,6.20197,0.09165681,2.32156493,20180204,0.016,-8.4E-5,20180228
4427920383700574337,3969,rossi,14.1,0.15,0,17828,1597,20180323,339.000353,212.271833,172.695705,2.144477,0.12602654,2.22025959,20171010,0.017,2.3E-5,20180228
4427920383700574337,3970,herran,12.3,0.15,0,22739,1326,20180323,168.987997,304.156901,21.72631,15.13908,0.13447744,2.55558624,20180204,0.029,-1.3E-4,20180228
4427920383700574337,3971,voronikhin,11.3,0.15,0,22680,1323,20180323,55.867535,83.474947,284.813907,13.009032,0.18443989,2.8492419,20180204,0.019,-8.0E-5,20180228
4427920383700574337,3972,richard,13.8,0.15,0,23452,1787,20180323,113.478462,179.228158,163.253931,4.149416,0.17763671,2.16336213,20180204,0.022,-1.7E-4,20180228
4427920383700574337,3974,verveer,12.2,0.15,10,23132,1494,20180323,216.541822,158.350877,21.222728,13.414878,0.10937291,2.60090741,20180204,0.014,-2.0E-5,20180228
4427920383700574337,3975,verdi,12.3,0.15,0,24753,2119,20180323,341.975705,246.811851,204.715227,1.292807,0.05407555,2.898855,20180204,0.016,-4.9E-5,20180228
4427920383700574337,3976,lise,11.7,0.15,20,27138,1772,20180323,131.573111,103.549079,222.436183,12.717841,0.07121641,2.75780511,20180204,0.023,-1.2E-4,20180228
4427920383700574337,3977,maxine,12.0,0.15,0,14432,1703,20180323,32.47972,73.846809,218.070949,12.545944,0.16529311,2.64213771,20171214,0.021,-1.0E-6,20180228
4427920383700574337,3981,stodola,12.0,0.15,0,19118,1766,20180323,72.103171,347.756817,79.687189,2.460395,0.17056879,3.1662376,20180204,0.029,6.9E-6,20180228
4427920383700574337,3982,kastel'',12.8,0.15,0,31995,1996,20180323,288.586393,50.882826,251.898665,5.297506,0.21943104,2.2592675,20180204,0.027,2.4E-4,20180228
4427920383700574337,3985,raybatson,11.4,0.15,0,23965,1441,20180323,238.062954,152.407266,83.989555,16.298701,0.09665841,2.85080162,20180204,0.023,-1.1E-4,20180228
4427920383700574337,3986,rozhkovskij,12.8,0.15,0,32251,1762,20180323,153.937917,164.161979,281.610484,4.947367,0.13295824,2.25425503,20170614,0.02,1.0E-4,20180228
4427920383700574337,3987,wujek,12.1,0.15,10,17726,2057,20180323,228.088692,307.303343,48.51846,4.828172,0.11700116,2.73580378,20180204,0.028,1.9E-4,20180228
4427920383700574337,3989,odin,13.7,0.15,0,24868,1455,20180323,84.56591,52.415143,327.530261,3.472289,0.1873384,2.25666554,20180204,0.024,-2.0E-4,20180228
4427920383700574337,3990,heimdal,10.8,0.15,0,16441,1520,20180323,295.719376,197.845379,192.656319,9.496232,0.24068966,3.93921747,20171111,0.027,7.2E-5,20180228
4427920383700574337,3991,basilevsky,13.1,0.15,4010,15234,1800,20180323,73.340702,355.989572,282.756106,3.872861,0.17395909,2.25031748,20180204,0.015,-2.1E-5,20180228
4427920383700574337,3993,sorm,12.8,0.15,0,25128,1659,20180323,5.161156,247.113881,205.867087,3.070056,0.07352462,2.56989751,20180204,0.021,-1.2E-4,20180228
4427920383700574337,3994,ayashi,12.8,0.15,0,24761,1809,20180323,330.922627,298.207794,51.881825,3.684213,0.24289259,2.65364114,20171010,0.024,6.1E-5,20180228
4427920383700574337,3995,sakaino,12.1,0.15,0,21571,1676,20180323,350.303618,276.887629,99.828866,9.298565,0.0945701,2.63520383,20180204,0.018,-2.2E-6,20180228
4427920383700574337,3998,tezuka,12.8,0.15,0,26966,1604,20180323,187.129725,76.102455,5.519086,6.4893,0.19614096,2.27937669,20171010,0.019,7.4E-5,20180228
4427920383700574337,3999,aristarchus,12.6,0.15,0,27194,1758,20180323,173.356015,210.129186,296.615026,2.541919,0.12049751,2.45955175,20171010,0.015,7.4E-6,20180228
4427920383700574337,4000,hipparchus,12.8,0.15,0,23070,1867,20180323,344.407939,172.942465,318.541092,2.716388,0.11328527,2.58955667,20180204,0.025,-1.7E-4,20180228
